"","cleaned_company","date","yearmon","Uniqueid","cleaned_county","total_number_of_cases"
"213","pine bluff fire and emergency",2020-09-28,"2020-09",74,"jefferson",9
"214","pine bluff fire and emergency",2020-10-01,"2020-10",74,"jefferson",10
"215","dooley agri",2020-10-08,"2020-10",75,"st. francis",26
"216","vacation tour and travel",2020-10-12,"2020-10",76,"faulkner",13
"217","denso manufacturing",2020-10-05,"2020-10",77,"mississippi",43
"218","denso manufacturing",2020-12-14,"2020-12",77,"mississippi",67
"219","land o'frost",2020-10-15,"2020-10",78,"white",14
"220","arkansas glass container",2020-10-19,"2020-10",79,"craighead",11
"221","big rock kangaroof",2020-10-15,"2020-10",80,"pulaski",7
"222","cooper tire",2020-10-22,"2020-10",81,"miller",29
"223","greenbrier rail",2020-10-26,"2020-10",82,"greene",21
"224","diamond pet foods",2020-10-29,"2020-10",83,"desha",17
"225","roach manufacturing",2020-10-29,"2020-10",84,"poinsett",17
"226","roach manufacturing",2020-11-05,"2020-11",84,"poinsett",19
"227","nestle",2020-11-05,"2020-11",85,"craighead",46
"228","abb",2020-11-23,"2020-11",86,"sebastian",49
"229","abb",2020-12-14,"2020-12",86,"sebastian",75
"230","abb",2021-01-07,"2021-01",86,"sebastian",89
"231","lockheed martin",2020-11-12,"2020-11",87,"ouachita",20
"232","lockheed martin",2020-12-07,"2020-12",87,"ouachita",36
"233","lockheed martin",2021-01-28,"2021-01",87,"ouachita",70
"234","lockheed martin",2021-02-11,"2021-02",87,"ouachita",78
"235","nabholz",2020-11-16,"2020-11",88,"faulkner",11
"236","alma tractor",2020-11-19,"2020-11",89,"crawford",7
"237","rineco chemical industries",2020-11-26,"2020-11",90,"saline",12
"238","maynard inc.",2020-11-23,"2020-11",91,"washington",8
"239","nucor-yamato steel",2020-11-30,"2020-11",92,"mississippi",34
"240","tenneco inc.",2020-12-03,"2020-12",93,"greene",40
"241","wilson combat scattergun tech",2020-12-07,"2020-12",94,"carroll",17
"242","potlatchdeltic",2020-12-10,"2020-12",95,"bradley",17
"243","potlatchdeltic",2021-01-07,"2021-01",96,"yell",19
"244","quality voices",2020-12-10,"2020-12",97,"craighead",8
"245","american greetings co.",2020-12-17,"2020-12",98,"mississippi",45
"246","american greetings co.",2021-01-07,"2021-01",98,"mississippi",63
"247","spirit fitness",2020-12-17,"2020-12",99,"craighead",18
"248","weatherbarr windows & doors",2020-12-14,"2020-12",100,"sebastian",17
"249","utility trailer manufacturing co.",2020-12-14,"2020-12",101,"greene",39
"250","dassault falcon jet llc",2020-12-14,"2020-12",102,"pulaski",38
"251","dassault falcon jet llc",2021-01-28,"2021-01",102,"pulaski",60
"252","dassault falcon jet llc",2021-02-01,"2021-02",102,"pulaski",63
"253","duke custom cabinets inc.",2020-12-14,"2020-12",103,"pulaski",6
"254","unilever",2020-12-17,"2020-12",104,"craighead",29
"255","unilever",2021-01-14,"2021-01",104,"craighead",43
"256","nice pak",2020-12-24,"2020-12",105,"craighead",49
"257","apac-central",2020-12-21,"2020-12",106,"washington",21
"258","domtar paper co.",2020-12-24,"2020-12",107,"little_river",41
"259","roehm_america",2020-12-24,"2020-12",108,"mississippi",13
"260","mckee foods",2020-12-24,"2020-12",109,"benton",36
"261","mckee foods",2021-01-07,"2021-01",109,"benton",53
"262","arkansas nuclear one",2020-12-24,"2020-12",110,"pope",38
"263","shippers products",2020-12-24,"2020-12",111,"dallas",13
"264","la-z-boy furniture",2020-12-24,"2020-12",112,"benton",7
"265","shelby group international inc.",2020-12-28,"2020-12",113,"pike",11
"266","stephens inc.",2020-12-28,"2020-12",114,"pulaski",12
"267","dillards",2021-01-07,"2021-01",115,"pulaski",21
"268","dillards",2021-02-04,"2021-02",116,"arkansas",64
"269","centene corporation",2021-01-11,"2021-01",117,"pulaski",20
"270","gates_corporation",2021-01-14,"2021-01",118,"benton",38
"271","gates_corporation",2021-01-18,"2021-01",119,"craighead",121
"272","clean harbors evnvironmental services",2021-01-11,"2021-01",120,"union",26
"273","pet solutions",2021-01-11,"2021-01",121,"yell",17
