Uniqueid,V2,date,company_name,city,county,number_active_cases,number_recovered_cases,total_number_of_cases,address,industry,cleaned_address,cleaned_city,cleaned_county,cleaned_company,year,month,yearmon
16,601,12/7/20,Tyson,Clarksville,Johnson,7,230,237,NA,Manufacturing,NA,clarksville,johnson,tyson,2020,Dec,2020-12
16,612,12/10/20,Tyson,Clarksville,Johnson,11,231,242,NA,Manufacturing,NA,clarksville,johnson,tyson,2020,Dec,2020-12
16,625,12/14/20,Tyson,Clarksville,Johnson,12,234,246,NA,Manufacturing,NA,clarksville,johnson,tyson,2020,Dec,2020-12
16,653,12/17/20,Tyson,Clarksville,Johnson,6,241,247,NA,Manufacturing,NA,clarksville,johnson,tyson,2020,Dec,2020-12
16,719,1/11/21,Tyson,Clarksville,Johnson,6,254,260,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Jan,2021-01
16,733,1/14/21,Tyson,Clarksville,Johnson,5,261,266,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Jan,2021-01
16,748,1/18/21,Tyson,Clarksville,Johnson,7,265,272,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Jan,2021-01
16,757,1/21/21,Tyson,Clarksville,Johnson,5,269,274,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Jan,2021-01
16,765,1/25/21,Tyson,Clarksville,Johnson,10,272,282,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Jan,2021-01
16,771,1/28/21,Tyson,Clarksville,Johnson,8,276,284,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Jan,2021-01
16,805,3/15/21,Tyson,Clarksville,Johnson,5,292,297,NA,Manufacturing,NA,clarksville,johnson,tyson,2021,Mar,2021-03
17,45,6/2/20,Tyson of Rogers,Rogers,Benton,7,0,7,Elm St.,NA,elm st,rogers,benton,tyson,2020,Jun,2020-06
