"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"1:244","2020-6-18","Wayne Farms",NA,"Danville","Yell","25","29",NA,NA,NA,17,54,53.7037037,NA,35.054,-93.3935
"1:245","2020-6-18","Tyson Dardanelle",NA,"Dardanelle","Yell","7","24",NA,NA,NA,1,31,77.41935484,NA,35.223968,-93.158723
"1:246","2020-6-18","Poultry (general) Yell County",NA,NA,"Yell","41","93",NA,NA,NA,18,134,69.40298507,NA,35.223141,-93.157953
"1:180","2020-6-14","Poultry (general) All Counties",NA,NA,"All Counties","629","829",NA,NA,NA,105,1458,56.85871056,NA,NA,NA
"1:181","2020-6-14","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","63","161",NA,NA,NA,8,224,71.875,NA,36.34715,-94.12266
"1:182","2020-6-14","Poultry (general) Benton County",NA,NA,"Benton","149","236",NA,NA,NA,23,385,61.2987013,NA,36.372852,-94.208817
"1:183","2020-6-14","Southeast Poultry",NA,"Rogers","Benton","22","11",NA,NA,NA,4,33,33.33333333,NA,36.35182,-94.14769
"1:184","2020-6-14","Tyson Chick-N-Quick Rogers",NA,"Rogers","Benton","14","17",NA,NA,NA,4,31,54.83870968,NA,36.31862,-94.12382
"1:185","2020-6-14","Tyson Rogers Elm St",NA,"Rogers","Benton","22","23",NA,NA,NA,8,45,51.11111111,NA,36.3379,-94.115327
"1:186","2020-6-14","Simmons Foods",NA,"Van Buren","Crawford","10","13",NA,NA,NA,4,23,56.52173913,NA,35.446677,-94.339285
"1:187","2020-6-14","Poultry (general) Johnson County",NA,NA,"Johnson","6","10",NA,NA,NA,1,16,62.5,NA,35.471472,-93.466573
"1:188","2020-6-14","Tyson Clarksville",NA,"Clarksville","Johnson","9","17",NA,NA,NA,2,26,65.38461538,NA,35.45813,-93.461807
"1:189","2020-6-14","Butterball Huntsville",NA,"Huntsville","Madison","43","49",NA,NA,NA,9,92,53.26086957,NA,36.10984,-93.736993
"1:190","2020-6-14","Poultry (general) Madison County",NA,NA,"Madison","31","19",NA,NA,NA,8,50,38,NA,36.086187,-93.741303
"1:191","2020-6-14","Hino Motors",NA,NA,"Marion","5","11",NA,NA,NA,0,16,68.75,NA,35.186311,-90.153365
"1:192","2020-6-14","Tyson Broken Bow",NA,"Broken Bow","Out of State","10","10",NA,NA,NA,5,20,50,NA,34.029276,-94.739104
"1:193","2020-6-14","Poultry (general) Polk County",NA,NA,"Polk","9","12",NA,NA,NA,2,21,57.14285714,NA,34.49958,-94.239712
"1:194","2020-6-14","Tyson Grannis",NA,"Grannis","Polk","12","12",NA,NA,NA,2,24,50,NA,34.228847,-94.258088
"1:195","2020-6-14","Poultry (general) Pope County",NA,NA,"Pope","14","32",NA,NA,NA,3,46,69.56521739,NA,35.278417,-93.133786
"1:196","2020-6-14","Park Hill Collection Warehouse",NA,"Little Rock","Pulaski","7","3",NA,NA,NA,0,10,30,NA,34.701004,-92.316712
"1:197","2020-6-14","Poultry (general) Sebastian County",NA,NA,"Sebastian","18","9",NA,NA,NA,3,27,33.33333333,NA,35.385924,-94.398548
"1:198","2020-6-14","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","38","119",NA,NA,NA,4,157,75.79617834,NA,34.096585,-94.409446
"1:199","2020-6-14","Poultry (general) Sevier County",NA,NA,"Sevier","51","112",NA,NA,NA,9,163,68.71165644,NA,33.986786,-94.243888
"1:200","2020-6-14","Poultry (general) Washington County",NA,NA,"Washington","277","228",NA,NA,NA,36,505,45.14851485,NA,36.082156,-94.171854
"1:201","2020-6-14","Cargill Poultry Springdale",NA,"Springdale","Washington","21","100",NA,NA,NA,11,121,82.6446281,NA,36.1867,-94.1288
"1:202","2020-6-14","George's Poultry Springdale",NA,"Springdale","Washington","26","26",NA,NA,NA,7,52,50,NA,36.1867,-94.1288
"1:203","2020-6-14","Tyson Berry St.",NA,"Springdale","Washington","186","33",NA,NA,NA,6,219,15.06849315,NA,36.1867,-94.1288
"1:204","2020-6-14","Poultry (general) Yell County",NA,NA,"Yell","39","73",NA,NA,NA,8,112,65.17857143,NA,35.223141,-93.157953
"1:205","2020-6-14","Wayne Farms",NA,"Danville","Yell","24","13",NA,NA,NA,2,37,35.13513514,NA,35.054,-93.3935
"1:206","2020-6-14","Tyson Dardanelle",NA,"Dardanelle","Yell","14","16",NA,NA,NA,4,30,53.33333333,NA,35.223968,-93.158723
"1:207","2020-6-14","Tyson Van Buren",NA,"Van Buren","Crawford","6","0",NA,NA,NA,1,6,0,NA,35.425988,-94.3326
"1:208","2020-6-14","Poultry (general) Little River County",NA,NA,"Little River","6","4",NA,NA,NA,1,10,40,NA,33.578015,-94.042969
"1:209","2020-6-14","Walmart Regional Distribution Center, Bentonville",NA,"Bentonville","Benton","6","1",NA,NA,NA,0,7,14.28571429,NA,36.276355,-94.298204
"1:210","2020-6-14","Springdale Public School District",NA,"Springdale","Washington","5","0",NA,NA,NA,0,5,0,NA,36.177219,-94.209667
"1:211","2020-6-14","Tyson Berryville",NA,"Berryville","Carroll","5","5",NA,NA,NA,10,10,50,NA,36.372315,-93.569502
"1:212","2020-6-14","Tyson Green Forrest",NA,"Green Forrest","Carroll","5","2",NA,NA,NA,7,7,28.57142857,NA,36.3311,-93.42776
"1:213","2020-6-14","Poultry (general)",NA,NA,"Carroll","10","11",NA,NA,NA,21,21,52.38095238,NA,36.345612,-93.513473
"1:144","2020-6-12","Poultry (general) All Counties",NA,NA,"All Counties","682","671",NA,NA,NA,422,1353,49.59349593,NA,NA,NA
"1:145","2020-6-12","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","82","134",NA,NA,NA,-49,216,62.03703704,NA,36.34715,-94.12266
"1:146","2020-6-12","Poultry (general) Benton County",NA,NA,"Benton","170","192",NA,NA,NA,82,362,53.03867403,NA,36.372852,-94.208817
"1:147","2020-6-12","Southeast Poultry",NA,"Rogers","Benton","22","7",NA,NA,NA,14,29,24.13793103,NA,36.35182,-94.14769
"1:148","2020-6-12","Simmons Foods Siloam Springs",NA,"Siloam Springs","Benton","5","2",NA,NA,NA,0,7,28.57142857,NA,36.18034,-94.51192
"1:149","2020-6-12","Tyson Chick-N-Quick Rogers",NA,"Rogers","Benton","15","12",NA,NA,NA,5,27,44.44444444,NA,36.31862,-94.12382
"1:150","2020-6-12","Tyson Rogers Elm St",NA,"Rogers","Benton","24","13",NA,NA,NA,21,37,35.13513514,NA,36.3379,-94.115327
"1:151","2020-6-12","Simmons Foods Gentry",NA,"Gentry","Benton","6","3",NA,NA,NA,3,9,33.33333333,NA,36.259513,-94.48495
"1:152","2020-6-12","Best Manufacturing",NA,"Jonesboro","Craighead","0","12",NA,NA,NA,0,12,100,NA,35.815547,-90.63157
"1:153","2020-6-12","Simmons Foods",NA,"Van Buren","Crawford","6","13",NA,NA,NA,6,19,68.42105263,NA,35.446677,-94.339285
"1:154","2020-6-12","Saracen Casino Construction",NA,"Pine Bluff","Jefferson","0","56",NA,NA,NA,0,56,100,NA,34.241222,-92.021551
"1:155","2020-6-12","Poultry (general) Johnson County",NA,NA,"Johnson","6","9",NA,NA,NA,2,15,60,NA,35.471472,-93.466573
"1:156","2020-6-12","Tyson Clarksville",NA,"Clarksville","Johnson","8","16",NA,NA,NA,4,24,66.66666667,NA,35.45813,-93.461807
"1:157","2020-6-12","Butterball Huntsville",NA,"Huntsville","Madison","45","38",NA,NA,NA,16,83,45.78313253,NA,36.10984,-93.736993
"1:158","2020-6-12","Poultry (general) Madison County",NA,NA,"Madison","29","13",NA,NA,NA,13,42,30.95238095,NA,36.086187,-93.741303
"1:159","2020-6-12","Hino Motors",NA,NA,"Marion","8","8",NA,NA,NA,4,16,50,NA,35.186311,-90.153365
"1:160","2020-6-12","Tyson Broken Bow",NA,"Broken Bow","Out of State","9","6",NA,NA,NA,2,15,40,NA,34.029276,-94.739104
"1:161","2020-6-12","Poultry (general) Polk County",NA,NA,"Polk","11","8",NA,NA,NA,7,19,42.10526316,NA,34.49958,-94.239712
"1:162","2020-6-12","Tyson Grannis",NA,"Grannis","Polk","14","8",NA,NA,NA,10,22,36.36363636,NA,34.228847,-94.258088
"1:163","2020-6-12","Poultry (general) Pope County",NA,NA,"Pope","15","28",NA,NA,NA,7,43,65.11627907,NA,35.278417,-93.133786
"1:164","2020-6-12","Park Hill Collection Warehouse",NA,"Little Rock","Pulaski","10","0",NA,NA,NA,1,10,0,NA,34.701004,-92.316712
"1:165","2020-6-12","Poultry (general) Sebastian County",NA,NA,"Sebastian","14","10",NA,NA,NA,8,24,41.66666667,NA,35.385924,-94.398548
"1:166","2020-6-12","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","46","106",NA,NA,NA,20,153,69.28104575,NA,34.096585,-94.409446
"1:167","2020-6-12","Poultry (general) Sevier County",NA,NA,"Sevier","58","96",NA,NA,NA,18,154,62.33766234,NA,33.986786,-94.243888
"1:168","2020-6-12","Poultry (general) Washington County",NA,NA,"Washington","307","162",NA,NA,NA,239,469,34.54157783,NA,36.082156,-94.171854
"1:169","2020-6-12","Cargill Poultry Springdale",NA,"Springdale","Washington","29","81",NA,NA,NA,21,110,73.63636364,NA,36.1867,-94.1288
"1:170","2020-6-12","George's Poultry Springdale",NA,"Springdale","Washington","29","16",NA,NA,NA,13,45,35.55555556,NA,36.1867,-94.1288
"1:171","2020-6-12","Tyson Berry St.",NA,"Springdale","Washington","193","20",NA,NA,NA,186,213,9.389671362,NA,36.1867,-94.1288
"1:172","2020-6-12","Poultry (general) Yell County",NA,NA,"Yell","42","62",NA,NA,NA,15,104,59.61538462,NA,35.223141,-93.157953
"1:173","2020-6-12","Wayne Farms",NA,"Danville","Yell","29","6",NA,NA,NA,15,35,17.14285714,NA,35.054,-93.3935
"1:174","2020-6-12","Tyson Dardanelle",NA,"Dardanelle","Yell","13","13",NA,NA,NA,6,26,50,NA,35.223968,-93.158723
"1:175","2020-6-12","Nebo Poultry",NA,"Dardanelle","Yell","6","57",NA,NA,NA,0,63,90.47619048,NA,35.227528,-93.168166
"1:176","2020-6-12","Tyson Van Buren",NA,"Van Buren","Crawford","5","0",NA,NA,NA,5,5,0,NA,35.425988,-94.3326
"1:177","2020-6-12","Poultry (general) Little River County",NA,NA,"Little River","6","3",NA,NA,NA,9,9,33.33333333,NA,33.578015,-94.042969
"1:178","2020-6-12","Walmart Regional Distribution Center, Bentonville",NA,"Bentonville","Benton","6","1",NA,NA,NA,7,7,14.28571429,NA,36.276355,-94.298204
"1:179","2020-6-12","Springdale Public School District",NA,"Springdale","Washington","5","0",NA,NA,NA,5,5,0,NA,36.177219,-94.209667
"1:102","2020-6-09","Poultry (general)",NA,NA,"All Counties","543","388",NA,NA,NA,123,931,41.67561762,NA,NA,NA
"1:103","2020-6-09","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","173","107",NA,NA,NA,99,265,40.37735849,NA,NA,NA
"1:104","2020-6-09","Poultry (general)",NA,NA,"Benton","173","107",NA,NA,NA,35,280,38.21428571,NA,NA,NA
"1:105","2020-6-09","Southeast Poultry",NA,"Rogers","Benton","11","4",NA,NA,NA,6,15,26.66666667,NA,NA,NA
"1:106","2020-6-09","Simmons Foods Siloam Springs",NA,"Siloam Springs","Benton","5","2",NA,NA,NA,2,7,28.57142857,NA,NA,NA
"1:107","2020-6-09","Tyson Chick-N-Quick Rogers",NA,"Rogers","Benton","17","5",NA,NA,NA,2,22,22.72727273,NA,NA,NA
"1:108","2020-6-09","Tyson Rogers Elm St",NA,"Rogers","Benton","13","3",NA,NA,NA,1,16,18.75,NA,NA,NA
"1:109","2020-6-09","Simmons Foods Gentry",NA,"Gentry","Benton","6","0",NA,NA,NA,1,6,0,NA,NA,NA
"1:110","2020-6-09","Poultry (general)",NA,NA,"Carroll","4","7",NA,NA,NA,0,11,63.63636364,NA,NA,NA
