"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"3:1","2021-02-11",NA,NA,"Maumelle","Pulaski","9","10","Manufacturing",NA,NA,NA,19,NA,NA,NA,NA
"3:2","2021-02-11",NA,NA,"Russellville","Pope","6","347","Manufacturing",NA,NA,NA,353,NA,NA,NA,NA
"3:3","2021-02-11",NA,NA,"North Little Rock","Pulaski","6","37","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:4","2021-02-11",NA,NA,"Jonesboro","Craighead","8","27","Manufacturing",NA,NA,NA,35,NA,NA,NA,NA
"3:5","2021-02-11",NA,NA,"Maumelle","Pulaski","6","9","Manufacturing",NA,NA,NA,15,NA,NA,NA,NA
"3:6","2021-02-11",NA,NA,"Camden","Ouachita","6","72","Manufacturing",NA,NA,NA,78,NA,NA,NA,NA
"3:7","2021-02-11",NA,NA,"Ft Smith","Sebastian","5","30","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,35,NA,NA,NA,NA
"3:8","2021-02-08","Claudia's Canine Bakery",NA,"Maumelle","Pulaski","10","9","Manufacturing",NA,NA,NA,19,NA,NA,NA,NA
"3:9","2021-02-08","ConAgra",NA,"Russellville","Pope","6","345","Manufacturing",NA,NA,NA,351,NA,NA,NA,NA
"3:10","2021-02-08","De Wafelbakkers",NA,"North Little Rock","Pulaski","6","34","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:11","2021-02-08","Great Dane Trailers",NA,"Jonesboro","Craighead","5","27","Manufacturing",NA,NA,NA,32,NA,NA,NA,NA
"3:12","2021-02-08","Lamb & Associates Packaging",NA,"Maumelle","Pulaski","5","7","Manufacturing",NA,NA,NA,12,NA,NA,NA,NA
"3:13","2021-02-08","Lockheed Martin",NA,"Camden","Ouachita","6","71","Manufacturing",NA,NA,NA,77,NA,NA,NA,NA
"3:14","2021-02-08","Tyson Corporate","Don Tyson Pkwy","Springdale","Washington","5","70","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,75,NA,NA,NA,NA
"3:15","2021-02-08","Tyson",NA,"Nashville","Howard","5","116","Manufacturing",NA,NA,NA,121,NA,NA,NA,NA
"3:16","2021-02-04","Tyson",NA,"Nashville","Howard","7","117","Manufacturing",NA,NA,NA,124,NA,NA,NA,NA
"3:17","2021-02-04","Welspun Pipes Inc.",NA,"Little Rock","Pulaski","6","33","Manufacturing",NA,NA,NA,39,NA,NA,NA,NA
"3:18","2021-02-04","Dillards Fulfillment Center",NA,"Stuttgart","Arkansas","5","59","Manufacturing",NA,NA,NA,64,NA,NA,NA,NA
"3:19","2021-02-04","Riceland Foods",NA,"Ft Smith","Sebastian","5","26","Other Services",NA,NA,NA,31,NA,NA,NA,NA
"3:20","2021-02-04","SYKES Enterprises Call Center",NA,"Maumelle","Pulaski","5","7","Retail Trade",NA,NA,NA,12,NA,NA,NA,NA
"3:21","2021-02-01","Dassault Falcon Jet LLC",NA,"Little Rock","Pulaski","7","56","Manufacturing",NA,NA,NA,63,NA,NA,NA,NA
"3:22","2021-02-01","SYKES Enterprises Call Center",NA,"Ft Smith","Sebastian","6","23","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,29,NA,NA,NA,NA
"3:23","2021-02-01","Tyson",NA,"Nashville","Howard","9","106","Manufacturing",NA,NA,NA,115,NA,NA,NA,NA
"3:24","2021-02-01","Welspun Pipes Inc.",NA,"Little Rock","Pulaski","5","33","Manufacturing",NA,NA,NA,38,NA,NA,NA,NA
"3:25","2021-01-28","ConAgra",NA,"Russellville","Pope","5","337","Manufacturing",NA,NA,NA,342,NA,NA,NA,NA
"3:26","2021-01-28","Dassault Falcon Jet LLC",NA,"Little Rock","Pulaski","6","54","Manufacturing",NA,NA,NA,60,NA,NA,NA,NA
"3:27","2021-01-28","Lockheed Martin",NA,"Camden","Ouachita","6","64","Manufacturing",NA,NA,NA,70,NA,NA,NA,NA
"3:28","2021-01-28","Tyson",NA,"Clarksville","Johnson","8","276","Manufacturing",NA,NA,NA,284,NA,NA,NA,NA
"3:29","2021-01-28","Tyson",NA,"Nashville","Howard","12","97","Manufacturing",NA,NA,NA,109,NA,NA,NA,NA
"3:30","2021-01-25","City of Camden",NA,"Camden","Ouachita","6","2","Public Administration",NA,NA,NA,8,NA,NA,NA,NA
"3:31","2021-01-25","ConAgra",NA,"Russellville","Pope","6","333","Manufacturing",NA,NA,NA,339,NA,NA,NA,NA
"3:32","2021-01-25","Lennox Industries",NA,"Stuttgart","Arkansas","5","80","Manufacturing",NA,NA,NA,85,NA,NA,NA,NA
"3:33","2021-01-25","Lockheed Martin",NA,"Camden","Ouachita","7","62","Manufacturing",NA,NA,NA,69,NA,NA,NA,NA
"3:34","2021-01-25","Tyson","275 Hempstead 278","Hope","Hempstead","5","85","Manufacturing",NA,NA,NA,90,NA,NA,NA,NA
"3:35","2021-01-25","Tyson","Berry St.","Springdale","Washington","6","410","Manufacturing",NA,NA,NA,416,NA,NA,NA,NA
"3:36","2021-01-25","Tyson",NA,"Clarksville","Johnson","10","272","Manufacturing",NA,NA,NA,282,NA,NA,NA,NA
"3:37","2021-01-25","Tyson",NA,"Dardanelle","Yell","8","158","Manufacturing",NA,NA,NA,166,NA,NA,NA,NA
"3:38","2021-01-25","Tyson",NA,"Nashville","Howard","11","92","Manufacturing",NA,NA,NA,103,NA,NA,NA,NA
"3:39","2021-01-21","Aerojet Rocketdyne",NA,"Camden","Ouachita","5","46","Manufacturing",NA,NA,NA,51,NA,NA,NA,NA
"3:40","2021-01-21","Bell & Company",NA,"North Little Rock","Pulaski","5","5","Finance and Insurance",NA,NA,NA,10,NA,NA,NA,NA
"3:41","2021-01-21","ConAgra",NA,"Russellville","Pope","5","331","Manufacturing",NA,NA,NA,336,NA,NA,NA,NA
"3:42","2021-01-21","Tyson","Berry St.","Springdale","Washington","7","408","Manufacturing",NA,NA,NA,415,NA,NA,NA,NA
"3:43","2021-01-21","Tyson",NA,"Berryville","Carroll","7","112","Manufacturing",NA,NA,NA,119,NA,NA,NA,NA
"3:44","2021-01-21","Tyson",NA,"Clarksville","Johnson","5","269","Manufacturing",NA,NA,NA,274,NA,NA,NA,NA
"3:45","2021-01-21","Tyson",NA,"Dardanelle","Yell","6","154","Manufacturing",NA,NA,NA,160,NA,NA,NA,NA
"3:46","2021-01-18","Bell & Company",NA,"North Little Rock","Pulaski","7","2","Finance and Insurance",NA,NA,NA,9,NA,NA,NA,NA
"3:47","2021-01-18","ConAgra",NA,"Russellville","Pope","7","326","Manufacturing",NA,NA,NA,333,NA,NA,NA,NA
"3:48","2021-01-18","ConAgra/Pinnacle Foods",NA,"Fayetteville","Washington","5","54","Manufacturing",NA,NA,NA,59,NA,NA,NA,NA
"3:49","2021-01-18","Hytrol Conveyor Company",NA,"Siloam Springs","Benton","5","32","Manufacturing",NA,NA,NA,37,NA,NA,NA,NA
"3:50","2021-01-18","Gates Rubber Corportation",NA,"Jonesboro","Craighead","5","116","Manufacturing",NA,NA,NA,121,NA,NA,NA,NA
"3:51","2021-01-18","L'Oreal Manufacturing center",NA,"North Little Rock","Pulaski","5","11","Manufacturing",NA,NA,NA,16,NA,NA,NA,NA
"3:52","2021-01-18","Lockheed Martin",NA,"Camden","Ouachita","7","53","Manufacturing",NA,NA,NA,60,NA,NA,NA,NA
"3:53","2021-01-18","Twin Rivers Foods",NA,"Atkins","Pope","6","116","Manufacturing",NA,NA,NA,122,NA,NA,NA,NA
"3:54","2021-01-18","Tyson","275 Hempstead 278","Hope","Hempstead","7","78","Manufacturing",NA,NA,NA,85,NA,NA,NA,NA
"3:55","2021-01-18","Tyson","Berry St.","Springdale","Washington","7","406","Manufacturing",NA,NA,NA,413,NA,NA,NA,NA
"3:56","2021-01-18","Tyson",NA,"Berryville","Carroll","8","106","Manufacturing",NA,NA,NA,114,NA,NA,NA,NA
"3:57","2021-01-18","Tyson",NA,"Clarksville","Johnson","7","265","Manufacturing",NA,NA,NA,272,NA,NA,NA,NA
"3:58","2021-01-18","Tyson",NA,"Dardanelle","Yell","9","151","Manufacturing",NA,NA,NA,160,NA,NA,NA,NA
"3:59","2021-01-18","Tyson",NA,"Green Forest","Carroll","5","283","Manufacturing",NA,NA,NA,288,NA,NA,NA,NA
"3:60","2021-01-18","Tyson","Plant St.","Waldron","Scott","20","73","Manufacturing",NA,NA,NA,93,NA,NA,NA,NA
"3:61","2021-01-14","Tyson","Plant. St","Waldron","Scott","18","71","Manufacturing",NA,NA,NA,89,NA,NA,NA,NA
"3:62","2021-01-14","Twin Rivers Foods",NA,"Atkins","Pope","10","112","Manufacturing",NA,NA,NA,122,NA,NA,NA,NA
"3:63","2021-01-14","ConAgra",NA,"Russellville","Pope","8","323","Manufacturing",NA,NA,NA,331,NA,NA,NA,NA
"3:64","2021-01-14","Tyson",NA,"Van Buren","Crawford","7","274","Manufacturing",NA,NA,NA,281,NA,NA,NA,NA
"3:65","2021-01-14","Gates Rubber Corportation",NA,"Siloam Springs","Benton","7","31","Manufacturing",NA,NA,NA,38,NA,NA,NA,NA
"3:66","2021-01-14","Tyson",NA,"Dardanelle","Yell","6","149","Manufacturing",NA,NA,NA,155,NA,NA,NA,NA
"3:67","2021-01-14","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","115","Manufacturing",NA,NA,NA,121,NA,NA,NA,NA
"3:68","2021-01-14","Tyson","275 Hempstead 278","Hope","Hempstead","6","74","Manufacturing",NA,NA,NA,80,NA,NA,NA,NA
"3:69","2021-01-14","Tyson",NA,"Clarksville","Johnson","5","261","Manufacturing",NA,NA,NA,266,NA,NA,NA,NA
"3:70","2021-01-14","Tyson",NA,"Berryville","Carroll","5","104","Manufacturing",NA,NA,NA,109,NA,NA,NA,NA
"3:71","2021-01-14","Unilever",NA,"Jonesboro","Craighead","5","38","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:72","2021-01-14","Hooters",NA,"North Little Rock","Pulaski","5","3","Accommodation and Food Services",NA,NA,NA,8,NA,NA,NA,NA
"3:73","2021-01-11","Tyson",NA,"Waldron","Scott","24","69","Manufacturing",NA,NA,NA,93,NA,NA,NA,NA
"3:74","2021-01-11","ConAgra",NA,"Russellville","Pope","12","303","Manufacturing",NA,NA,NA,315,NA,NA,NA,NA
"3:75","2021-01-11","Frito Lay",NA,"Jonesboro","Craighead","7","121","Manufacturing",NA,NA,NA,128,NA,NA,NA,NA
"3:76","2021-01-11","Gates Corportation",NA,"Siloam Springs","Benton","7","26","Manufacturing",NA,NA,NA,33,NA,NA,NA,NA
"3:77","2021-01-11","Twin Rivers Foods",NA,"Atkins","Pope","6","107","Manufacturing",NA,NA,NA,113,NA,NA,NA,NA
"3:78","2021-01-11","Tyson",NA,"Clarksville","Johnson","6","254","Manufacturing",NA,NA,NA,260,NA,NA,NA,NA
"3:79","2021-01-11","Tyson",NA,"Dardanelle","Yell","6","141","Manufacturing",NA,NA,NA,147,NA,NA,NA,NA
"3:80","2021-01-11","Centene Corporation",NA,"Little Rock","Pulaski","5","15","Finance and Insurance",NA,NA,NA,20,NA,NA,NA,NA
"3:81","2021-01-11","Clean Harbors Evnvironmental Services",NA,"El Dorado","Union","5","21","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,26,NA,NA,NA,NA
"3:82","2021-01-11","Pet Solutions",NA,"Danville","Yell","5","12","Retail Trade",NA,NA,NA,17,NA,NA,NA,NA
"3:83","2021-01-11","Unilever",NA,"Jonesboro","Craighead","5","38","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:84","2021-01-07","ConAgra",NA,"Russellville","Pope","20","296","Manufacturing",NA,NA,NA,316,NA,NA,NA,NA
"3:85","2021-01-07","Frito Lay",NA,"Jonesboro","Craighead","9","117","Manufacturing",NA,NA,NA,126,NA,NA,NA,NA
"3:86","2021-01-07","Dillar's Corporate Headquarters",NA,"Little Rock","Pulaski","8","13","Retail Trade",NA,NA,NA,21,NA,NA,NA,NA
"3:87","2021-01-07","George's Poultry","Kansas St.","Springdale","Washington","8","86","Manufacturing",NA,NA,NA,94,NA,NA,NA,NA
"3:88","2021-01-07","Centene Corporation",NA,"Little Rock","Pulaski","7","14","Finance and Insurance",NA,NA,NA,21,NA,NA,NA,NA
"3:89","2021-01-07","McKee Foods",NA,"Gentry","Benton","7","46","Manufacturing",NA,NA,NA,53,NA,NA,NA,NA
"3:90","2021-01-07","Tyson's Chick-N-Quick","Olrich St.","Rogers","Benton","7","119","Manufacturing",NA,NA,NA,126,NA,NA,NA,NA
"3:91","2021-01-07","PotlatchDeltic",NA,"Ola","Yell","6","13","Manufacturing",NA,NA,NA,19,NA,NA,NA,NA
"3:92","2021-01-07","Unilever",NA,"Jonesboro","Craighead","6","37","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:93","2021-01-07","ABB",NA,"Fort Smith","Sebastian","5","84","Manufacturing",NA,NA,NA,89,NA,NA,NA,NA
"3:94","2021-01-07","American Greetings Co.",NA,"Osceola","Mississippi","5","58","Manufacturing",NA,NA,NA,63,NA,NA,NA,NA
"3:95","2021-01-04","ConAgra",NA,"Russellville","Pope","10","295","Manufacturing",NA,NA,NA,305,NA,NA,NA,NA
"3:96","2021-01-04","Tyson's Chick-N-Quick","Olrich St.","Rogers","Benton","6","118","Manufacturing",NA,NA,NA,124,NA,NA,NA,NA
"3:97","2021-01-04","McKee Foods",NA,"Gentry","Benton","6","41","Manufacturing",NA,NA,NA,47,NA,NA,NA,NA
"1:573","2020-8-20","ConAgra",NA,"Russellville","Pope","20","160",NA,NA,NA,17,180,88.88888889,NA,35.275374,-93.094335
"1:574","2020-8-20","OK Foods",NA,"Fort Smith","Sebastian","8","209",NA,NA,NA,16,217,96.31336406,NA,35.423771,-94.385184
"1:575","2020-8-20","Peco Batesville",NA,"Batesville","Independence","26","90",NA,NA,NA,62,116,77.5862069,NA,35.764152,-91.64686
"1:576","2020-8-20","Peco Pocahontas",NA,"Pocahontas","Randolph","5","48",NA,NA,NA,3,53,90.56603774,NA,36.214054,-90.95445
"1:577","2020-8-20","Poultry (general)",NA,NA,"Independence","21","124",NA,NA,NA,73,145,85.51724138,NA,35.763111,-91.614386
"1:578","2020-8-20","Poultry (general)",NA,NA,"Crawford","7","98",NA,NA,NA,11,105,93.33333333,NA,35.580745,-94.2147
"1:579","2020-8-20","Poultry (general) All Counties",NA,NA,"All Counties","143","4627",NA,NA,NA,319,4770,97.00209644,NA,319,NA
"1:580","2020-8-20","Poultry (general) Benton County",NA,NA,"Benton","18","1004",NA,NA,NA,36,1022,98.23874755,NA,36.372852,-94.208817
"1:581","2020-8-20","Poultry (general) Pope County",NA,NA,"Pope","5","183",NA,NA,NA,6,188,97.34042553,NA,35.278417,-93.133786
"1:582","2020-8-20","Poultry (general) Sebastian County",NA,NA,"Sebastian","27","361",NA,NA,NA,45,388,93.04123711,NA,35.385924,-94.398548
"1:583","2020-8-20","Poultry (general) Washington County",NA,NA,"Washington","18","1381",NA,NA,NA,21,1399,98.71336669,NA,36.082156,-94.171854
"1:584","2020-8-20","Tyson Berry St.",NA,"Springdale","Washington","11","336",NA,NA,NA,1,347,96.82997118,NA,36.1867,-94.1288
"1:585","2020-8-20","Tyson Van Buren",NA,"Van Buren","Crawford","12","113",NA,NA,NA,13,125,90.4,NA,35.425988,-94.3326
"1:586","2020-8-20","Wilson Brothers Lumber Co",NA,"Cleveland","Cleveland","12","4",NA,NA,NA,1,16,25,NA,34.034214,-92.277715
"1:587","2020-8-20","Twin Rivers Foods",NA,"Fort Smith","Sebastian","5","16",NA,NA,NA,21,21,76.19047619,NA,35.367933,-94.428053
"1:543","2020-8-10","ConAgra",NA,"Russellville","Pope","19","144",NA,NA,NA,7,163,88.34355828,NA,35.275374,-93.094335
"1:544","2020-8-10","Kagome Foods",NA,"Osceola","Mississippi","7","9",NA,NA,NA,2,16,56.25,NA,35.709939,-89.964438
"1:545","2020-8-10","Radius Aerospace",NA,"Hot Springs","Garland","10","0",NA,NA,NA,0,10,0,NA,34.4938,-93.058011
"1:546","2020-8-10","George's Poultry Batesville",NA,"Batesville","Independence","6","8",NA,NA,NA,4,14,57.14285714,NA,35.763791,-91.64341
"1:547","2020-8-10","OK Foods",NA,"Fort Smith","Sebastian","24","177",NA,NA,NA,1,201,88.05970149,NA,35.423771,-94.385184
"1:548","2020-8-10","Peco Batesville",NA,"Batesville","Independence","22","32",NA,NA,NA,6,54,59.25925926,NA,35.764152,-91.64686
"1:549","2020-8-10","Peco Pocahontas",NA,"Pocahontas","Randolph","10","40",NA,NA,NA,0,50,80,NA,36.214054,-90.95445
"1:550","2020-8-10","Poultry (general)",NA,NA,"Independence","27","46",NA,NA,NA,7,73,63.01369863,NA,35.763111,-91.614386
"1:551","2020-8-10","Poultry (general)",NA,NA,"Crawford","7","87",NA,NA,NA,1,94,92.55319149,NA,35.580745,-94.2147
"1:552","2020-8-10","Poultry (general)",NA,NA,"Howard","5","41",NA,NA,NA,2,46,89.13043478,NA,33.945189,-93.846935
"1:553","2020-8-10","Poultry (general) All Counties",NA,NA,"All Counties","215","4282",NA,NA,NA,46,4451,96.20310043,NA,NA,NA
"1:554","2020-8-10","Poultry (general) All Counties",NA,NA,"Izard","5","3",NA,NA,NA,8,8,37.5,NA,36.070109,-91.883597
"1:555","2020-8-10","Poultry (general) Sevier County",NA,NA,"Sevier","6","325",NA,NA,NA,3,331,98.18731118,NA,33.986786,-94.243888
"1:556","2020-8-10","Poultry (general) Benton County",NA,NA,"Benton","35","951",NA,NA,NA,9,986,96.45030426,NA,36.372852,-94.208817
"1:557","2020-8-10","Poultry (general) Johnson County",NA,NA,"Johnson","7","205",NA,NA,NA,1,212,96.69811321,NA,35.471472,-93.466573
"1:558","2020-8-10","Poultry (general) Pope County",NA,NA,"Pope","6","176",NA,NA,NA,4,182,96.7032967,NA,35.278417,-93.133786
"1:559","2020-8-10","Poultry (general) Randolph County",NA,NA,"Randolph","7","24",NA,NA,NA,0,31,77.41935484,NA,36.256401,-90.973041
"1:560","2020-8-10","Poultry (general) Sebastian County",NA,NA,"Sebastian","40","303",NA,NA,NA,5,343,88.33819242,NA,35.385924,-94.398548
"1:561","2020-8-10","Poultry (general) Washington County",NA,NA,"Washington","30","1348",NA,NA,NA,4,1378,97.82293179,NA,36.082156,-94.171854
"1:562","2020-8-10","Poultry (general) Yell County",NA,NA,"Yell","8","331",NA,NA,NA,2,339,97.64011799,NA,35.223141,-93.157953
"1:563","2020-8-10","Simmons Foods Gentry",NA,"Gentry","Benton","5","73",NA,NA,NA,2,78,93.58974359,NA,36.29686,-94.44025
"1:564","2020-8-10","Simmons Foods Siloam Springs",NA,"Siloam Springs","Benton","12","42",NA,NA,NA,5,54,77.77777778,NA,36.184433,-94.531491
"1:565","2020-8-10","Simmons Foods Van Buren",NA,"Van Buren","Crawford","6","48",NA,NA,NA,0,54,88.88888889,NA,35.427844,-94.337686
"1:566","2020-8-10","Tyson Berry St.",NA,"Springdale","Washington","14","332",NA,NA,NA,1,346,95.95375723,NA,36.1867,-94.1288
"1:567","2020-8-10","Tyson Clarksville",NA,"Clarksville","Johnson","6","208",NA,NA,NA,1,214,97.19626168,NA,35.45813,-93.461807
"1:568","2020-8-10","Tyson Dardanelle",NA,"Dardanelle","Yell","6","79",NA,NA,NA,1,85,92.94117647,NA,35.223968,-93.158723
"1:569","2020-8-10","Tyson Van Buren",NA,"Van Buren","Crawford","12","100",NA,NA,NA,2,112,89.28571429,NA,35.425988,-94.3326
"1:570","2020-8-10","Tyson Hope",NA,"Hope","Hempstead","8","17",NA,NA,NA,3,25,68,NA,33.74104,-93.613556
"1:571","2020-8-10","Wilson Brothers Lumber Co",NA,"Cleveland","Cleveland","15","0",NA,NA,NA,15,15,0,NA,34.034214,-92.277715
"1:572","2020-8-10","JB Hunt",NA,"Lowell","Benton","5","23",NA,NA,NA,5,28,82.14285714,NA,36.244965,-94.149401
"1:512","2020-8-07","ConAgra",NA,"Russellville","Pope","24","132",NA,NA,NA,13,156,84.61538462,NA,35.275374,-93.094335
"1:513","2020-8-07","George's Poultry Batesville",NA,"Batesville","Independence","6","4",NA,NA,NA,10,10,40,NA,35.763791,-91.64341
"1:514","2020-8-07","George's Poultry Springdale",NA,"Springdale","Washington","5","253",NA,NA,NA,11,258,98.0620155,NA,36.1867,-94.1288
"1:515","2020-8-07","Kagome Foods",NA,"Osceola","Mississippi","8","6",NA,NA,NA,7,14,42.85714286,NA,35.709939,-89.964438
"1:516","2020-8-07","OK Foods",NA,"Fort Smith","Sebastian","28","172",NA,NA,NA,36,200,86,NA,35.423771,-94.385184
"1:517","2020-8-07","Peco Batesville",NA,"Batesville","Independence","22","26",NA,NA,NA,20,48,54.16666667,NA,35.764152,-91.64686
"1:518","2020-8-07","Peco Pocahontas",NA,"Pocahontas","Randolph","10","40",NA,NA,NA,8,50,80,NA,36.214054,-90.95445
"1:519","2020-8-07","Poultry (general)",NA,NA,"Independence","31","35",NA,NA,NA,23,66,53.03030303,NA,35.763111,-91.614386
"1:520","2020-8-07","Poultry (general)",NA,NA,"Crawford","8","85",NA,NA,NA,10,93,91.39784946,NA,35.580745,-94.2147
"1:521","2020-8-07","Poultry (general)",NA,NA,"Howard","5","39",NA,NA,NA,44,44,88.63636364,NA,33.945189,-93.846935
"1:522","2020-8-07","Poultry (general) All Counties",NA,NA,"All Counties","233","4318",NA,NA,NA,212,4451,97.01190744,NA,NA,NA
"1:523","2020-8-07","Poultry (general) Benton County",NA,NA,"Benton","36","941",NA,NA,NA,25,977,96.31525077,NA,36.372852,-94.208817
"1:524","2020-8-07","Poultry (general) Johnson County",NA,NA,"Johnson","8","203",NA,NA,NA,8,211,96.20853081,NA,35.471472,-93.466573
"1:525","2020-8-07","Poultry (general) Pope County",NA,NA,"Pope","7","171",NA,NA,NA,8,178,96.06741573,NA,35.278417,-93.133786
"1:526","2020-8-07","Poultry (general) Randolph County",NA,NA,"Randolph","7","24",NA,NA,NA,15,31,77.41935484,NA,36.256401,-90.973041
"1:527","2020-8-07","Poultry (general) Sebastian County",NA,NA,"Sebastian","45","293",NA,NA,NA,53,338,86.68639053,NA,35.385924,-94.398548
"1:528","2020-8-07","Poultry (general) Washington County",NA,NA,"Washington","35","1339",NA,NA,NA,36,1374,97.45269287,NA,36.082156,-94.171854
"1:529","2020-8-07","Poultry (general) Yell County",NA,NA,"Yell","9","328",NA,NA,NA,6,337,97.32937685,NA,35.223141,-93.157953
"1:530","2020-8-07","Radius Aerospace",NA,"Hot Springs","Garland","10","0",NA,NA,NA,10,10,0,NA,34.4938,-93.058011
"1:531","2020-8-07","Simmons Foods Gentry",NA,"Gentry","Benton","6","70",NA,NA,NA,6,76,92.10526316,NA,36.29686,-94.44025
"1:532","2020-8-07","Simmons Foods Siloam Springs",NA,"Siloam Springs","Benton","10","39",NA,NA,NA,49,49,79.59183673,NA,36.184433,-94.531491
"1:533","2020-8-07","Simmons Foods Van Buren",NA,"Van Buren","Crawford","6","48",NA,NA,NA,2,54,88.88888889,NA,35.427844,-94.337686
"1:534","2020-8-07","Tyson Berry St.",NA,"Springdale","Washington","14","331",NA,NA,NA,-1,345,95.94202899,NA,36.1867,-94.1288
"1:535","2020-8-07","Tyson Clarksville",NA,"Clarksville","Johnson","6","207",NA,NA,NA,7,213,97.18309859,NA,35.45813,-93.461807
"1:536","2020-8-07","Tyson Dardanelle",NA,"Dardanelle","Yell","6","78",NA,NA,NA,4,84,92.85714286,NA,35.223968,-93.158723
"1:537","2020-8-07","Tyson Olrich St.",NA,"Rogers","Benton","5","100",NA,NA,NA,4,105,95.23809524,NA,36.317781,-94.122539
"1:538","2020-8-07","Tyson Van Buren",NA,"Van Buren","Crawford","13","97",NA,NA,NA,23,110,88.18181818,NA,35.425988,-94.3326
"1:539","2020-8-07","Tyson Hope",NA,"Hope","Hempstead","7","15",NA,NA,NA,22,22,68.18181818,NA,33.74104,-93.613556
"1:540","2020-8-07","Custom Craft Poultry",NA,"Batesville","Independence","7","2",NA,NA,NA,9,9,22.22222222,NA,35.806191,-91.611469
"1:541","2020-8-07","Tyson Randall Road",NA,"Springdale","Washington","5","59",NA,NA,NA,14,64,92.1875,NA,36.201311,-94.134535
"1:542","2020-8-07","Simmons Foods Fort Smith",NA,"Fort Smith","Sebastian","5","26",NA,NA,NA,31,31,83.87096774,NA,35.304665,-94.381696
"1:479","2020-8-03","ConAgra",NA,"Russellville","Pope","30","113",NA,NA,NA,35,143,79.02097902,NA,35.275374,-93.094335
"1:480","2020-8-03","Frito Lay Jonesboro",NA,"Jonesboro","Craighead","7","23",NA,NA,NA,7,30,76.66666667,NA,35.814977,-90.559723
"1:481","2020-8-03","George's Poultry Batesville",NA,"Batesville","Independence","6","4",NA,NA,NA,10,10,40,NA,35.763791,-91.64341
"1:482","2020-8-03","George's Poultry Springdale",NA,"Springdale","Washington","9","238",NA,NA,NA,15,247,96.3562753,NA,36.1867,-94.1288
"1:483","2020-8-03","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","9",NA,NA,NA,15,15,60,NA,35.82202,-90.6482
"1:484","2020-8-03","Kagome Foods",NA,"Osceola","Mississippi","5","2",NA,NA,NA,7,7,28.57142857,NA,35.709939,-89.964438
"1:485","2020-8-03","OK Foods",NA,"Fort Smith","Sebastian","24","140",NA,NA,NA,35,164,85.36585366,NA,35.423771,-94.385184
"1:486","2020-8-03","Pace Industries",NA,"Harrison","Boone","5","4",NA,NA,NA,9,9,44.44444444,NA,36.246455,-93.112403
"1:487","2020-8-03","Peco Batesville",NA,"Batesville","Independence","14","14",NA,NA,NA,28,28,50,NA,35.764152,-91.64686
"1:488","2020-8-03","Peco Pocahontas",NA,"Pocahontas","Randolph","9","33",NA,NA,NA,17,42,78.57142857,NA,36.214054,-90.95445
"1:489","2020-8-03","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","7","250",NA,NA,NA,12,257,97.27626459,NA,34.096585,-94.409446
"1:490","2020-8-03","Poultry (general)",NA,NA,"Independence","20","23",NA,NA,NA,31,43,53.48837209,NA,35.763111,-91.614386
"1:491","2020-8-03","Poultry (general)",NA,NA,"Crawford","6","77",NA,NA,NA,9,83,92.77108434,NA,35.580745,-94.2147
"1:492","2020-8-03","Poultry (general) All Counties",NA,NA,"All Counties","281","3958",NA,NA,NA,384,4239,93.37107808,NA,NA,NA
"1:493","2020-8-03","Poultry (general) Benton County",NA,NA,"Benton","54","898",NA,NA,NA,61,952,94.32773109,NA,36.372852,-94.208817
"1:494","2020-8-03","Poultry (general) Johnson County",NA,NA,"Johnson","9","194",NA,NA,NA,19,203,95.56650246,NA,35.471472,-93.466573
"1:495","2020-8-03","Poultry (general) Pope County",NA,NA,"Pope","11","159",NA,NA,NA,13,170,93.52941176,NA,35.278417,-93.133786
"1:496","2020-8-03","Poultry (general) Sebastian County",NA,NA,"Sebastian","34","251",NA,NA,NA,57,285,88.07017544,NA,35.385924,-94.398548
"1:497","2020-8-03","Poultry (general) Sevier County",NA,NA,"Sevier","10","318",NA,NA,NA,18,328,96.95121951,NA,33.986786,-94.243888
"1:498","2020-8-03","Poultry (general) Washington County",NA,NA,"Washington","74","1264",NA,NA,NA,87,1338,94.46935725,NA,36.082156,-94.171854
"1:499","2020-8-03","Poultry (general) Yell County",NA,NA,"Yell","12","319",NA,NA,NA,10,331,96.37462236,NA,35.223141,-93.157953
"1:500","2020-8-03","Simmons Foods",NA,"Gentry","Benton","9","61",NA,NA,NA,16,70,87.14285714,NA,36.29686,-94.44025
"1:501","2020-8-03","Simmons Foods Van Buren",NA,"Van Buren","Crawford","5","47",NA,NA,NA,11,52,90.38461538,NA,35.427844,-94.337686
