"","yearmon","cleaned_county","positive2","New_Cases"
"618","2020-12","craighead",10077,117
"619","2020-12","crawford",4451,49
"620","2020-12","crittenden",4319,26
"621","2020-12","cross",1394,17
"622","2020-12","dallas",482,6
"623","2020-12","desha",953,10
"624","2020-12","drew",1448,25
"625","2020-12","faulkner",7618,102
"626","2020-12","franklin",1088,9
"627","2020-12","fulton",884,20
"628","2020-12","garland",5782,43
"629","2020-12","grant",1071,15
"630","2020-12","greene",4431,33
"631","2020-12","hempstead",1220,5
"632","2020-12","hotspring",3636,21
"633","2020-12","howard",1106,9
"634","2020-12","independence",2751,27
"635","2020-12","izard",1298,27
"636","2020-12","jackson",2821,5
"637","2020-12","jefferson",6718,70
"638","2020-12","johnson",1823,6
"639","2020-12","lafayette",342,1
"640","2020-12","lawrence",1574,6
"641","2020-12","lee",1430,5
"642","2020-12","lincoln",2820,10
"643","2020-12","little_river",821,15
"644","2020-12","logan",1419,11
"645","2020-12","lonoke",4133,40
"646","2020-12","madison",1025,11
"647","2020-12","marion",629,9
"648","2020-12","miller",2749,16
"649","2020-12","mississippi",4393,28
"650","2020-12","monroe",475,8
"651","2020-12","montgomery",492,3
"652","2020-12","nevada",594,4
"653","2020-12","newton",553,2
"654","2020-12","ouachita",1370,25
"655","2020-12","perry",438,10
"656","2020-12","phillips",1264,8
"657","2020-12","pike",685,5
"658","2020-12","poinsett",2406,20
"659","2020-12","polk",1255,12
"660","2020-12","pope",5448,45
"661","2020-12","prairie",545,13
"662","2020-12","pulaski",24662,372
"663","2020-12","randolph",1455,15
"664","2020-12","saline",7563,69
"665","2020-12","scott",588,15
"666","2020-12","searcy",503,3
"667","2020-12","sebastian",9514,111
"668","2020-12","sevier",2079,16
"669","2020-12","sharp",1134,12
"670","2020-12","st.francis",2728,14
"671","2020-12","stone",765,4
"672","2020-12","union",2428,44
"673","2020-12","van_buren",743,4
"674","2020-12","washington",21420,312
"675","2020-12","white",4748,107
"676","2020-12","woodruff",362,22
"677","2020-12","yell",2390,27
"678","2021-01","arkansas_county",1774,4
"679","2021-01","ashley",1640,3
"680","2021-01","baxter",2635,6
"681","2021-01","benton",25105,80
"682","2021-01","boone",3334,5
"683","2021-01","bradley",1250,3
"684","2021-01","calhoun",346,2
"685","2021-01","carroll",2580,5
"686","2021-01","chicot",1551,1
"687","2021-01","clark",1837,6
"688","2021-01","clay",1564,2
"689","2021-01","cleburne",1761,8
"690","2021-01","cleveland",796,5
"691","2021-01","columbia",1930,4
"692","2021-01","conway",1983,9
"693","2021-01","craighead",12141,18
"694","2021-01","crawford",6196,33
"695","2021-01","crittenden",5360,2
"696","2021-01","cross",1819,1
"697","2021-01","dallas",668,4
"698","2021-01","desha",1206,2
"699","2021-01","drew",1864,6
"700","2021-01","faulkner",10624,28
"701","2021-01","franklin",1502,2
"702","2021-01","fulton",1024,1
"703","2021-01","garland",8370,16
"704","2021-01","grant",1386,3
"705","2021-01","greene",5498,16
"706","2021-01","hempstead",1632,4
"707","2021-01","hotspring",4399,17
"708","2021-01","howard",1352,4
"709","2021-01","independence",3454,3
"710","2021-01","izard",1557,2
"711","2021-01","jackson",3066,1
"712","2021-01","jefferson",8061,20
"713","2021-01","johnson",2505,17
"714","2021-01","lafayette",445,1
"715","2021-01","lawrence",1907,2
"716","2021-01","lee",1597,2
"717","2021-01","lincoln",3051,6
"718","2021-01","little_river",1036,5
"719","2021-01","logan",1974,9
"720","2021-01","lonoke",5963,24
"721","2021-01","madison",1340,7
"722","2021-01","marion",867,6
"723","2021-01","miller",3376,13
"724","2021-01","mississippi",5250,16
